step,tokens,destination,source_depth,mean_weight,mean_entropy
190,100139008,block_10_mlp,17,0.03188953921198845,2.9343631267547607
190,100139008,block_10_mlp,18,0.02728343941271305,2.9343631267547607
190,100139008,block_10_mlp,19,0.025645047426223755,2.9343631267547607
190,100139008,block_11_attention,0,0.049266017973423004,3.0392441749572754
190,100139008,block_11_attention,1,0.052798792719841,3.0392441749572754
190,100139008,block_11_attention,2,0.052529655396938324,3.0392441749572754
190,100139008,block_11_attention,3,0.04857324808835983,3.0392441749572754
190,100139008,block_11_attention,4,0.053426727652549744,3.0392441749572754
190,100139008,block_11_attention,5,0.04821278527379036,3.0392441749572754
190,100139008,block_11_attention,6,0.05222456902265549,3.0392441749572754
190,100139008,block_11_attention,7,0.04915253072977066,3.0392441749572754
190,100139008,block_11_attention,8,0.05049874633550644,3.0392441749572754
190,100139008,block_11_attention,9,0.04902239888906479,3.0392441749572754
190,100139008,block_11_attention,10,0.048912499099969864,3.0392441749572754
190,100139008,block_11_attention,11,0.048662010580301285,3.0392441749572754
190,100139008,block_11_attention,12,0.0484323725104332,3.0392441749572754
190,100139008,block_11_attention,13,0.047498974949121475,3.0392441749572754
190,100139008,block_11_attention,14,0.047734007239341736,3.0392441749572754
190,100139008,block_11_attention,15,0.04427656903862953,3.0392441749572754
190,100139008,block_11_attention,16,0.0450250580906868,3.0392441749572754
190,100139008,block_11_attention,17,0.04113414138555527,3.0392441749572754
190,100139008,block_11_attention,18,0.043299153447151184,3.0392441749572754
190,100139008,block_11_attention,19,0.038243018090724945,3.0392441749572754
190,100139008,block_11_attention,20,0.041076719760894775,3.0392441749572754
190,100139008,block_11_mlp,0,0.050013504922389984,3.011018753051758
190,100139008,block_11_mlp,1,0.07069818675518036,3.011018753051758
190,100139008,block_11_mlp,2,0.06624510884284973,3.011018753051758
190,100139008,block_11_mlp,3,0.04766610637307167,3.011018753051758
190,100139008,block_11_mlp,4,0.06738705933094025,3.011018753051758
190,100139008,block_11_mlp,5,0.053027037531137466,3.011018753051758
190,100139008,block_11_mlp,6,0.05416202172636986,3.011018753051758
190,100139008,block_11_mlp,7,0.058712758123874664,3.011018753051758
190,100139008,block_11_mlp,8,0.046510081738233566,3.011018753051758
190,100139008,block_11_mlp,9,0.06413417309522629,3.011018753051758
190,100139008,block_11_mlp,10,0.04237223044037819,3.011018753051758
190,100139008,block_11_mlp,11,0.05859880894422531,3.011018753051758
190,100139008,block_11_mlp,12,0.03901321813464165,3.011018753051758
190,100139008,block_11_mlp,13,0.05607292428612709,3.011018753051758
190,100139008,block_11_mlp,14,0.03320934996008873,3.011018753051758
190,100139008,block_11_mlp,15,0.043498195707798004,3.011018753051758
190,100139008,block_11_mlp,16,0.029294852167367935,3.011018753051758
190,100139008,block_11_mlp,17,0.029670879244804382,3.011018753051758
190,100139008,block_11_mlp,18,0.025227289646863937,3.011018753051758
190,100139008,block_11_mlp,19,0.023393817245960236,3.011018753051758
190,100139008,block_11_mlp,20,0.02267460525035858,3.011018753051758
190,100139008,block_11_mlp,21,0.018417775630950928,3.011018753051758
190,100139008,block_12_attention,0,0.045420605689287186,3.129014253616333
190,100139008,block_12_attention,1,0.04900132864713669,3.129014253616333
