id,canonical_group,token_sha256,H_ON,L_LOCAL,R_ON,H_ALL_OFF,R_ALL_OFF,A,B,C,G_H,G_R,I
71,1,603de87306656e1c0a73181120b01d1f16cef818ec953b9cab33967cb28f1242,5.054566161537423,5.002253398421544,5.04971111972236,5.055156786286716,5.07506225213092,0.004855041815062577,-0.04745772130081605,-0.052312763115878624,0.0005906247492930561,0.02535113240855935,0.024760507659266295
72,1,3a71a0a8dff3eeba1289fe5e406d51bba7e30bc18c6f03d25c995e3908983061,5.653077898587981,5.6533060052151995,5.640331658399191,5.662568705554008,5.67018365633794,0.01274624018878967,0.01297434681600862,0.00022810662721894914,0.009490806966027776,0.029851997938749264,0.020361190972721488
73,1,f12602de6d1b44d058d984fa43e1de3e7724239e03c95f07459f6297a04cd15e,5.647673941704284,5.665174965130518,5.655539899042083,5.652919833186047,5.67420044634639,-0.007865957337799045,0.009635066088435451,0.017501023426234497,0.005245891481763465,0.01866054730430733,0.013414655822543864
74,1,ad0c2b7a237677f9f296a88314bb74e266cfbea7b1d6f4ee8db4db8bfa96131b,5.560011613596544,5.5514385676242455,5.590204889488632,5.56896266701915,5.621562556262688,-0.030193275892088423,-0.038766321864386555,-0.008573045972298132,0.008951053422606492,0.03135766677405627,0.022406613351449778
75,1,81ae3d14d4dd89e8f3c89947e5147079cedf46c123d9f51e238112f061cc4a4e,5.329319258958776,5.323328090684754,5.354968115036797,5.332550095570923,5.374816449588025,-0.025648856078021254,-0.03164002435204338,-0.0059911682740221295,0.003230836612146959,0.019848334551227254,0.016617497939080295
76,1,0de2a7e0cef5625c20f81bfb1deea7edff3334c0a339953c6d71d050dfeeb723,5.507846131993119,5.521893494611959,5.494227899489488,5.513930973380184,5.5102973820266925,0.013618232503631589,0.02766559512247113,0.014047362618839543,0.0060848413870644436,0.01606948253720475,0.009984641150140305
77,1,bad0941d33b7b6f81bedd791b43b7d2cc7333b1e586d2200e4bb36defbeea400,5.2105645788885795,5.179650512742228,5.2148194310403255,5.2135063141698765,5.243831406458412,-0.004254852151746036,-0.03516891829809765,-0.030914066146351615,0.002941735281297042,0.029011975418086422,0.02607024013678938
78,1,7460f74c080a523c06d0e7974de81cdaa7dca63dbb0b4c582eb309176103c96c,5.431196494411097,5.43170798168012,5.45344834949077,5.442106510777194,5.486811208120685,-0.022251855079673533,-0.021740367810650696,0.0005114872690228367,0.010910016366096897,0.03336285862991417,0.022452842263817274
79,1,5cc8c3ebae959b41c9b38f7164c71a39317d615263872bc0876d069c1aae80f2,5.900084436566431,5.881735165759892,5.89587136127318,5.900163063836999,5.923063772345131,0.004213075293250768,-0.01413619551328793,-0.018349270806538698,7.862727056817675e-05,0.027192411071951028,0.02711378380138285
80,1,e988be1a90632cc5771a7c73dabef2610b1b0c4cdab9d9c697ec40ca91526fa3,5.5414959103604815,5.504507423703444,5.571695547182003,5.551374853024299,5.60507399719296,-0.03019963682152138,-0.06718812347855874,-0.036988486657037356,0.009878942663817725,0.033378450010957295,0.02349950734713957
81,1,28259d61d9f5c9b0c259aa61e0a89824f38097cd19ef976402297511ccd04c55,5.340341729397551,5.329157774707028,5.353665382684767,5.3474328517181675,5.387239513519717,-0.013323653287216075,-0.0245076079777391,-0.011183954690523024,0.007091122320616705,0.033574130834949756,0.02648300851433305
82,1,350e89aec6c273c1309fac9c86d40f75bb27817fbecee025f26ce2df10559f58,5.437793619709964,5.466309002842877,5.441887005356875,5.444379723910629,5.462928389280023,-0.004093385646910974,0.0244219974860016,0.028515383132912575,0.006586104200664522,0.021041383923147805,0.014455279722483283
83,1,2fd1ab76522452e85f0c84fa70e625526be229ebf3c16ece08313f51af66481a,5.410271017194191,5.406854334155923,5.435873967959424,5.417630520564899,5.471655377410457,-0.02560295076523289,-0.029019633803500255,-0.003416683038267365,0.007359503370707898,0.03578140945103314,0.028421906080325243
84,1,ba9d6643a93116b7a1aa2e49aeaf84172f2c50fd276f1c41854d893191543b61,4.862195794860099,4.885588478199622,4.856593131818755,4.861275239816962,4.870100708328266,0.005602663041344158,0.028995346380867204,0.023392683339523046,-0.0009205550431374832,0.013507576509510955,0.014428131552648438
85,1,c617a1abd81b517cc05bb01e9f93995b154b5c27c4e7356f89d48dc2de255afa,3.7874701592570545,3.7990929929289905,3.7764680128630133,3.7923434322483445,3.802451779584672,0.01100214639404129,0.02262498006597724,0.01162283367193595,0.004873272991289923,0.025983766721658696,0.021110493730368773
86,1,082b7da2ef5a0f5b51e53cafa74f70fb92de056d5dc3d3049ba64030ef04b08a,3.6878364599106987,3.6485238184100126,3.695912725373205,3.6920075103402326,3.7154618271693494,-0.008076265462506171,-0.04738890696319231,-0.03931264150068614,0.004171050429533807,0.01954910179614444,0.015378051366610634
87,1,693297fe1d0f40096df6d26db2eb1130b15898c76625f40d69f078a9cc2d27f3,4.19582049087785,4.186244467519494,4.173395363116271,4.195718633755973,4.195096551622157,0.022425127761579233,0.012849104403223066,-0.009576023358356167,-0.00010185712187649187,0.02170118850588665,0.02180304562776314
88,1,1364a1c7c0e28add81b3324659173991a74903c2d3a2f1e57a89984a568fcda4,3.6761507939744433,3.6980636372702236,3.6738058845104717,3.6764047918118763,3.695790962780137,0.0023449094639715895,0.02425775275975184,0.02191284329578025,0.0002539978374329621,0.021985078269665337,0.021731080432232375
