completed_updates,logical_targets,ce_pass_targets,weighted_multipass_training_loss,training_seconds,cumulative_training_seconds,targets_per_second,peak_allocated_bytes,timestamp
14874,7798259712,15839789056,3.0546247959136963,2.50441837310791,37974.542581796646,209345.21389466326,46773069824,1788668466.6781163
14875,7798784000,15840837632,3.1006991863250732,2.502204418182373,37977.04478621483,209530.44291275297,46773069824,1788668469.1890743
14876,7799308288,15841886208,3.0285754203796387,2.5034544467926025,37979.54824066162,209425.81985931954,46773069824,1788668471.7083247
14877,7799832576,15842934784,3.089776039123535,2.505108594894409,37982.053349256516,209287.53390912333,46773069824,1788668474.2219808
14878,7800356864,15843983360,3.063274383544922,2.504331588745117,37984.55768084526,209352.4684815052,46773069824,1788668476.733525
14879,7800881152,15845031936,3.0209431648254395,2.502655029296875,37987.06033587456,209492.71628031755,46773069824,1788668479.2430253
14880,7801405440,15846604800,2.9940853118896484,3.818570137023926,37990.87890601158,137299.56009361497,46773069824,1788668483.0708792
14881,7801929728,15847653376,3.086351156234741,2.506477117538452,37993.38538312912,209173.26407307878,46773069824,1788668485.5858717
14882,7802454016,15848701952,3.0182552337646484,2.5036275386810303,37995.8890106678,209411.34090424937,46773069824,1788668488.0973866
14883,7802978304,15849750528,2.99000883102417,2.5055956840515137,37998.39460635185,209246.84829925693,46773069824,1788668490.6121755
14884,7803502592,15850799104,3.033139705657959,2.5058505535125732,38000.900456905365,209225.56585231304,46773069824,1788668493.1257756
14885,7804026880,15851847680,3.024219512939453,2.504671096801758,38003.40512800217,209324.09076364123,46773069824,1788668495.6386158
14886,7804551168,15852896256,3.034067153930664,2.5061609745025635,38005.91128897667,209199.65051489303,46773069824,1788668498.1526716
14887,7805075456,15853944832,2.9901065826416016,2.5050411224365234,38008.416330099106,209293.1709999444,46773069824,1788668500.666539
14888,7805599744,15854993408,3.0185370445251465,2.5056657791137695,38010.92199587822,209240.99469700054,46773069824,1788668503.1813247
14889,7806124032,15856041984,3.0142290592193604,2.509542465209961,38013.43153834343,208917.76380286732,46773069824,1788668505.6996758
14890,7806648320,15857090560,3.0635879039764404,2.506687879562378,38015.93822622299,209155.6768094842,46773069824,1788668508.2212098
14891,7807172608,15858139136,3.0323166847229004,2.505610466003418,38018.443836688995,209245.61383887706,46773069824,1788668510.733938
14892,7807696896,15859187712,3.0463733673095703,2.5070974826812744,38020.95093417168,209121.50549458805,46773069824,1788668513.2478936
