model,updates,logical_targets,ce,perplexity,hellaswag
"G historical, 1 A100 80GB",15750,8257536000,3.0997960567474365,22.193424620663702,0.2989444333798048
"G historical, 1 A100 80GB",16000,8388608000,3.099766969680786,22.192779088430925,0.3004381597291376
"G historical, 1 A100 80GB",16250,8519680000,3.0986738204956055,22.168532325132805,0.2989444333798048
"G historical, 1 A100 80GB",16500,8650752000,3.095242500305176,22.092595349119435,0.3016331408086039
"G historical, 1 A100 80GB",16750,8781824000,3.0925543308258057,22.03328646046911,0.29954192391953793
"G historical, 1 A100 80GB",17000,8912896000,3.090104818344116,21.979381697419388,0.30033857797251545
"G historical, 1 A100 80GB",17250,9043968000,3.0884318351745605,21.942641303362123,0.300637323242382
"G historical, 1 A100 80GB",17500,9175040000,3.0867080688476562,21.904849898293488,0.2989444333798048
"G historical, 1 A100 80GB",17750,9306112000,3.086843729019165,21.907821715561628,0.2996415056761601
"G historical, 1 A100 80GB",18000,9437184000,3.085437536239624,21.877036744724382,0.30023899621589323
"G historical, 1 A100 80GB",18250,9568256000,3.084460973739624,21.855682879417458,0.2985461063533161
"G historical, 1 A100 80GB",18500,9699328000,3.0835819244384766,21.836479098427944,0.30013941445927106
"G historical, 1 A100 80GB",18750,9830400000,3.082190752029419,21.806121912131253,0.2998406691894045
"G historical, 1 A100 80GB",19000,9961472000,3.075796365737915,21.667130002679155,0.30322644891455885
"G historical, 1 A100 80GB",19072,9999220736,3.0750441551208496,21.65083788576966,0.303326030671181
"H fresh, 4 A100 80GB",0,0,10.975830660901556,58444.37118542706,0.24915355506871142
"H fresh, 4 A100 80GB",250,131072000,6.051219226143271,424.6304350914824,
"H fresh, 4 A100 80GB",500,262144000,5.059006919898644,157.4340940002474,
"H fresh, 4 A100 80GB",750,393216000,4.421081392897241,83.18619369547433,
"H fresh, 4 A100 80GB",1000,524288000,4.052053325275326,57.515433775587404,0.2599083847839076
"H fresh, 4 A100 80GB",2000,1048576000,3.6106201912402804,36.988985947694985,0.26767576180043817
"H fresh, 4 A100 80GB",3000,1572864000,3.4606252243285973,31.83687548245824,
"H fresh, 4 A100 80GB",4000,2097152000,3.377420325934403,29.29510173988515,
"H fresh, 4 A100 80GB",5000,2621440000,3.3217639684349107,27.709185602876058,0.27972515435172274
"H fresh, 4 A100 80GB",6000,3145728000,3.278148115110869,26.526602970385813,
"H fresh, 4 A100 80GB",7000,3670016000,3.2423684199208567,25.594267993757217,
"H fresh, 4 A100 80GB",8000,4194304000,3.215185799667485,24.90791936439804,
"H fresh, 4 A100 80GB",9000,4718592000,3.187654675048747,24.23152993583791,
"H fresh, 4 A100 80GB",10000,5242880000,3.1697396811737177,23.80128762664198,0.2949611631149173
"H fresh, 4 A100 80GB",11000,5767168000,3.146580588206383,23.256405238163353,
"H fresh, 4 A100 80GB",12000,6291456000,3.1281598126422923,22.831925839679595,
"H fresh, 4 A100 80GB",13000,6815744000,3.110051273552689,22.422194036820475,
"H fresh, 4 A100 80GB",14000,7340032000,3.0966195341037297,22.123038555464394,
"H fresh, 4 A100 80GB",15000,7864320000,3.084565086676718,21.857958457210714,0.30322644891455885
"H fresh, 4 A100 80GB",16000,8388608000,3.076083856923946,21.67336000707428,
"H fresh, 4 A100 80GB",17000,8912896000,3.066945298124478,21.47619898817766,
"H fresh, 4 A100 80GB",18000,9437184000,3.061910749107646,21.36834773070346,
"H fresh, 4 A100 80GB",19000,9961472000,3.0527433388815686,21.173350496672917,
"H fresh, 4 A100 80GB",19072,9999220736,3.051675995924876,21.15076332642356,0.30920135431189005
