tokens,completed_optimizer_updates,destination,eligible_source_count,entropy_nats,maximum_entropy_nats,normalized_entropy
250085376,477,Final LN input,25,3.0194499254226685,3.2188758248682006,0.9380448609092593
374865920,715,Block 1 Attention input,1,0.0,0.0,0.0
374865920,715,Block 1 Mlp input,2,0.3530070140957833,0.6931471805599453,0.509281468635007
374865920,715,Block 2 Attention input,3,1.021516501903534,1.0986122886681098,0.929824390679225
374865920,715,Block 2 Mlp input,4,1.0857033491134644,1.3862943611198906,0.7831694188212671
374865920,715,Block 3 Attention input,5,1.5750174522399902,1.6094379124341003,0.9786133656177809
374865920,715,Block 3 Mlp input,6,1.5814858913421632,1.791759469228055,0.8826440816989325
374865920,715,Block 4 Attention input,7,1.8636284291744234,1.9459101490553132,0.9577155605458786
374865920,715,Block 4 Mlp input,8,1.5986969947814942,2.0794415416798357,0.7688107420851169
374865920,715,Block 5 Attention input,9,2.034939217567444,2.1972245773362196,0.9261407498156059
374865920,715,Block 5 Mlp input,10,1.6433849155902864,2.302585092994046,0.7137130004839026
374865920,715,Block 6 Attention input,11,2.230323958396912,2.3978952727983707,0.9301173340210555
374865920,715,Block 6 Mlp input,12,1.8855539917945863,2.4849066497880004,0.7588027469585034
374865920,715,Block 7 Attention input,13,2.2142989516258242,2.5649493574615367,0.8632914896289641
374865920,715,Block 7 Mlp input,14,2.2277186393737796,2.6390573296152584,0.8441342347415216
374865920,715,Block 8 Attention input,15,2.4786647081375124,2.70805020110221,0.9152949628218359
374865920,715,Block 8 Mlp input,16,2.475451421737671,2.772588722239781,0.892830372525618
374865920,715,Block 9 Attention input,17,2.589543616771698,2.833213344056216,0.9139952775544731
374865920,715,Block 9 Mlp input,18,2.5187993168830873,2.8903717578961645,0.8714447579284623
374865920,715,Block 10 Attention input,19,2.7537345051765443,2.9444389791664403,0.9352323225785159
374865920,715,Block 10 Mlp input,20,2.681499183177948,2.995732273553991,0.8951064175026389
374865920,715,Block 11 Attention input,21,2.8442607283592225,3.044522437723423,0.9342222915217047
374865920,715,Block 11 Mlp input,22,2.6680909872055056,3.091042453358316,0.8631686647676781
374865920,715,Block 12 Attention input,23,2.981036949157715,3.1354942159291497,0.9507391000797417
374865920,715,Block 12 Mlp input,24,2.826611137390137,3.1780538303479458,0.8894157519920511
374865920,715,Final LN input,25,2.877312803268433,3.2188758248682006,0.8938874811631625
500170752,954,Block 1 Attention input,1,0.0,0.0,0.0
500170752,954,Block 1 Mlp input,2,0.20115951225161555,0.6931471805599453,0.29021183075304846
500170752,954,Block 2 Attention input,3,1.002786645293236,1.0986122886681098,0.9127757404834357
500170752,954,Block 2 Mlp input,4,1.0666558027267456,1.3862943611198906,0.7694295184646562
500170752,954,Block 3 Attention input,5,1.5733791232109071,1.6094379124341003,0.9775954145577085
500170752,954,Block 3 Mlp input,6,1.6480892300605774,1.791759469228055,0.9198161128014716
500170752,954,Block 4 Attention input,7,1.8516765117645264,1.9459101490553132,0.9515734900007923
500170752,954,Block 4 Mlp input,8,1.5919972002506257,2.0794415416798357,0.7655888219702307
500170752,954,Block 5 Attention input,9,1.9490884363651277,2.1972245773362196,0.8870683754721528
500170752,954,Block 5 Mlp input,10,1.6869421005249023,2.302585092994046,0.7326296455482457
500170752,954,Block 6 Attention input,11,2.179546344280243,2.3978952727983707,0.9089414241751634
500170752,954,Block 6 Mlp input,12,1.8673379302024842,2.4849066497880004,0.7514720644985984
500170752,954,Block 7 Attention input,13,2.220910477638245,2.5649493574615367,0.8658691335084377
500170752,954,Block 7 Mlp input,14,2.2264149069786074,2.6390573296152584,0.8436402203142707
500170752,954,Block 8 Attention input,15,2.465113723278046,2.70805020110221,0.9102909991383151
500170752,954,Block 8 Mlp input,16,2.476627469062805,2.772588722239781,0.8932545419365735
500170752,954,Block 9 Attention input,17,2.5615806818008426,2.833213344056216,0.9041255884152776
500170752,954,Block 9 Mlp input,18,2.5334310770034794,2.8903717578961645,0.8765069995174274
500170752,954,Block 10 Attention input,19,2.731061446666718,2.9444389791664403,0.9275320242635394
500170752,954,Block 10 Mlp input,20,2.6521509885787964,2.995732273553991,0.8853097494698395
500170752,954,Block 11 Attention input,21,2.823027801513672,3.044522437723423,0.9272481511499793
500170752,954,Block 11 Mlp input,22,2.5845054745674134,3.091042453358316,0.8361274597699017
500170752,954,Block 12 Attention input,23,2.86056501865387,3.1354942159291497,0.9123171090928613
500170752,954,Block 12 Mlp input,24,2.679367327690125,3.1780538303479458,0.8430843121989464
